[2026-05-14 07:42:12] START train_p3_block_projected: python scripts/train_env_v2_gpsi_ppo_n3p.py --config configs/env_v2_gpsi_heada_ppo_n3p_block_projected.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0 --train-steps 500000 --seed 0 --n-envs 4 --device cpu --heartbeat-seconds 300
[2026-05-14 07:42:18] N3P_TRAIN_CONFIG config=block_projected steps=500000 seed=0 n_envs=4 device=cpu out_dir=checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0 no_shield=true action_filtering=false safety_cost=false
Using cpu device
Logging to /root/workspace/uav-risk-rl/checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0/tensorboard/PPO_1
[2026-05-14 07:42:20] N3FZ_TRAIN_START config=block_projected total_steps=500000 start_num_timesteps=0
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 500      |
|    ep_rew_mean     | -31      |
|    success_rate    | 0        |
| time/              |          |
|    fps             | 264      |
|    iterations      | 1        |
|    time_elapsed    | 15       |
|    total_timesteps | 4096     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | -22.6       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 247         |
|    iterations           | 2           |
|    time_elapsed         | 33          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.017770238 |
|    clip_fraction        | 0.239       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.23       |
|    explained_variance   | -0.115      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.128       |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0305     |
|    std                  | 0.986       |
|    value_loss           | 0.483       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 486        |
|    ep_rew_mean          | -16.1      |
|    success_rate         | 0          |
| time/                   |            |
|    fps                  | 246        |
|    iterations           | 3          |
|    time_elapsed         | 49         |
|    total_timesteps      | 12288      |
| train/                  |            |
|    approx_kl            | 0.02231051 |
|    clip_fraction        | 0.291      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.2       |
|    explained_variance   | 0.0436     |
|    learning_rate        | 0.0003     |
|    loss                 | 0.189      |
|    n_updates            | 20         |
|    policy_gradient_loss | -0.0389    |
|    std                  | 0.976      |
|    value_loss           | 0.522      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 430         |
|    ep_rew_mean          | -8.68       |
|    success_rate         | 0.0541      |
| time/                   |             |
|    fps                  | 244         |
|    iterations           | 4           |
|    time_elapsed         | 66          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.020704903 |
|    clip_fraction        | 0.241       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.16       |
|    explained_variance   | -0.0613     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.232       |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.026      |
|    std                  | 0.963       |
|    value_loss           | 0.834       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 366         |
|    ep_rew_mean          | -1          |
|    success_rate         | 0.164       |
| time/                   |             |
|    fps                  | 244         |
|    iterations           | 5           |
|    time_elapsed         | 83          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.013420308 |
|    clip_fraction        | 0.178       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.13       |
|    explained_variance   | 0.271       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.569       |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0168     |
|    std                  | 0.959       |
|    value_loss           | 1.99        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 312         |
|    ep_rew_mean          | 3.6         |
|    success_rate         | 0.192       |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 6           |
|    time_elapsed         | 99          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.011620746 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.12       |
|    explained_variance   | 0.261       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.64        |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0131     |
|    std                  | 0.956       |
|    value_loss           | 3.46        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 262         |
|    ep_rew_mean          | 7.39        |
|    success_rate         | 0.2         |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 7           |
|    time_elapsed         | 116         |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.011859075 |
|    clip_fraction        | 0.118       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.11       |
|    explained_variance   | 0.236       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.75        |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00966    |
|    std                  | 0.949       |
|    value_loss           | 4.42        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 189         |
|    ep_rew_mean          | 13.7        |
|    success_rate         | 0.23        |
| time/                   |             |
