repair_stage,scenario,episode_id,step,active_mask_sum,active_slots,info_active_obstacle_count,ids_len,inactive_forwarded_count,duplicate_active_ids,replacement_seen,replacement_count
before_fix,eval_flow_id,0,0,5,5,5,5,0,0,0,0
before_fix,eval_flow_id,0,1,5,5,5,5,0,0,1,3
before_fix,eval_flow_id,0,2,5,5,5,5,0,0,1,4
before_fix,eval_flow_id,0,3,5,5,5,5,0,0,1,5
before_fix,eval_flow_id,0,4,5,5,5,5,0,0,1,6
before_fix,eval_flow_id,0,5,5,5,5,5,0,0,1,7
before_fix,eval_flow_id,0,6,5,5,5,5,0,0,1,8
before_fix,eval_flow_id,0,7,5,5,5,5,0,0,1,9
before_fix,eval_flow_id,0,8,5,5,5,5,0,0,1,10
before_fix,eval_flow_id,0,9,5,5,5,5,0,0,1,11
before_fix,eval_flow_id,0,10,5,5,5,5,0,0,1,12
before_fix,eval_flow_id,0,11,5,5,5,5,0,0,0,12
before_fix,eval_flow_id,0,12,5,5,5,5,0,0,0,12
before_fix,eval_flow_id,0,13,5,5,5,5,0,0,0,12
before_fix,eval_flow_id,0,14,5,5,5,5,0,0,0,12
before_fix,eval_flow_id,0,15,5,5,5,5,0,0,0,12
before_fix,eval_flow_id,0,16,5,5,5,5,0,0,0,12
before_fix,eval_flow_id,0,17,5,5,5,5,0,0,0,12
before_fix,eval_flow_id,0,18,5,5,5,5,0,0,0,12
before_fix,eval_flow_id,0,19,5,5,5,5,0,0,0,12
before_fix,eval_flow_id,0,20,5,5,5,5,0,0,0,12
before_fix,eval_flow_id,0,21,5,5,5,5,0,0,0,12
before_fix,eval_flow_id,0,22,5,5,5,5,0,0,0,12
before_fix,eval_flow_id,0,23,5,5,5,5,0,0,0,12
before_fix,eval_flow_id,0,24,5,5,5,5,0,0,1,13
before_fix,eval_flow_id,0,25,5,5,5,5,0,0,1,14
before_fix,eval_flow_id,0,26,5,5,5,5,0,0,1,15
before_fix,eval_flow_id,0,27,5,5,5,5,0,0,1,17
before_fix,eval_flow_id,0,28,5,5,5,5,0,0,0,17
before_fix,eval_flow_id,0,29,5,5,5,5,0,0,0,17
before_fix,eval_flow_id,0,30,5,5,5,5,0,0,0,17
before_fix,eval_flow_id,0,31,5,5,5,5,0,0,0,17
before_fix,eval_flow_id,0,32,5,5,5,5,0,0,0,17
before_fix,eval_flow_id,0,33,5,5,5,5,0,0,0,17
before_fix,eval_flow_id,0,34,5,5,5,5,0,0,0,17
before_fix,eval_flow_id,0,35,5,5,5,5,0,0,0,17
before_fix,eval_flow_id,0,36,5,5,5,5,0,0,0,17
before_fix,eval_flow_id,0,37,5,5,5,5,0,0,1,18
before_fix,eval_flow_id,0,38,5,5,5,5,0,0,0,18
before_fix,eval_flow_id,0,39,5,5,5,5,0,0,0,18
before_fix,eval_flow_id,0,40,5,5,5,5,0,0,0,18
before_fix,eval_flow_id,0,41,5,5,5,5,0,0,0,18
before_fix,eval_flow_id,0,42,5,5,5,5,0,0,0,18
before_fix,eval_flow_id,0,43,5,5,5,5,0,0,1,19
before_fix,eval_flow_id,0,44,5,5,5,5,0,0,1,21
before_fix,eval_flow_id,0,45,5,5,5,5,0,0,0,21
before_fix,eval_flow_id,0,46,5,5,5,5,0,0,0,21
before_fix,eval_flow_id,0,47,5,5,5,5,0,0,0,21
before_fix,eval_flow_id,0,48,5,5,5,5,0,0,0,21
before_fix,eval_flow_id,0,49,5,5,5,5,0,0,0,21
before_fix,eval_flow_id,0,50,5,5,5,5,0,0,1,22
before_fix,eval_flow_id,0,51,5,5,5,5,0,0,1,23
before_fix,eval_flow_id,0,52,5,5,5,5,0,0,1,24
before_fix,eval_flow_id,0,53,5,5,5,5,0,0,1,25
before_fix,eval_flow_id,0,54,5,5,5,5,0,0,1,26
before_fix,eval_flow_id,0,55,5,5,5,5,0,0,0,26
before_fix,eval_flow_id,0,56,5,5,5,5,0,0,0,26
before_fix,eval_flow_id,0,57,5,5,5,5,0,0,0,26
before_fix,eval_flow_id,0,58,5,5,5,5,0,0,0,26
before_fix,eval_flow_id,0,59,5,5,5,5,0,0,0,26
before_fix,eval_flow_id,0,60,5,5,5,5,0,0,0,26
before_fix,eval_flow_id,0,61,5,5,5,5,0,0,0,26
before_fix,eval_flow_id,0,62,5,5,5,5,0,0,0,26
before_fix,eval_flow_id,0,63,5,5,5,5,0,0,0,26
before_fix,eval_flow_id,0,64,5,5,5,5,0,0,0,26
before_fix,eval_flow_id,0,65,5,5,5,5,0,0,0,26
before_fix,eval_flow_id,0,66,5,5,5,5,0,0,0,26
before_fix,eval_flow_id,0,67,5,5,5,5,0,0,1,27
before_fix,eval_flow_id,0,68,5,5,5,5,0,0,1,28
before_fix,eval_flow_id,0,69,5,5,5,5,0,0,0,28
before_fix,eval_flow_id,0,70,5,5,5,5,0,0,0,28
before_fix,eval_flow_id,0,71,5,5,5,5,0,0,0,28
before_fix,eval_flow_id,0,72,5,5,5,5,0,0,0,28
before_fix,eval_flow_id,0,73,5,5,5,5,0,0,0,28
