[2026-05-08 08:46:09] CONFIG agg=attention seed=0 total_steps=750000 n_envs=16 device=cpu scenario=train_mixed_modes_v2_small_space use_rbar=False rbar_floor=0.0 hidden_dim=64 r_gate=5.0 lambda_ewma=0.1 sigma_min=0.05 run_name=small_space_wide_d2 method=attention_full_distance_penalty_wide_d2 resume_from=none resume_global_step=0 use_safety_cost=True cost_type=distance_warning fallback_penalty=True beta_cost=5.0 use_risk_bias=False lambda_bias=0.2
FALLBACK: cost-penalty, not PPO-Lagrangian.
Using cpu device
Logging to /root/workspace/uav-risk-rl/runs/pre_ppo_priority/p0_adaptation/small_space_wide_d2_s0/PPO_1
[2026-05-08 08:46:11] TRAIN_START total_steps=750000 start_num_timesteps=0
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 112      |
|    ep_rew_mean     | -90.4    |
|    success_rate    | 0        |
| time/              |          |
|    fps             | 2946     |
|    iterations      | 1        |
|    time_elapsed    | 5        |
|    total_timesteps | 16384    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 126          |
|    ep_rew_mean          | -85.5        |
|    success_rate         | 0            |
| time/                   |              |
|    fps                  | 1985         |
|    iterations           | 2            |
|    time_elapsed         | 16           |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0047876257 |
|    clip_fraction        | 0.0401       |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.27        |
|    explained_variance   | 0.00125      |
|    learning_rate        | 0.0003       |
|    loss                 | 30           |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00308     |
|    std                  | 1.01         |
|    value_loss           | 141          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 125         |
|    ep_rew_mean          | -76.9       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 1876        |
|    iterations           | 3           |
|    time_elapsed         | 26          |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.008556037 |
|    clip_fraction        | 0.0868      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.29       |
|    explained_variance   | 0.541       |
|    learning_rate        | 0.0003      |
|    loss                 | 26.8        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00549    |
|    std                  | 1.01        |
|    value_loss           | 87.1        |
-----------------------------------------
[2026-05-08 08:46:42] HEARTBEAT steps=49168/750000 percent=  6.56% rate=  1584.0 step/s eta=   7.37 min
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 149         |
|    ep_rew_mean          | -68.4       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 1821        |
|    iterations           | 4           |
|    time_elapsed         | 35          |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.010665481 |
|    clip_fraction        | 0.133       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.3        |
|    explained_variance   | 0.688       |
|    learning_rate        | 0.0003      |
|    loss                 | 20.3        |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00483    |
