repair_stage,scenario,episode_id,step,active_slots,history_valid_ratio_mean,history_valid_ratio_min,history_valid_ratio_max,left_padding_violations,first_step_valid_counts
before_fix,eval_flow_id,0,0,5,0.05000000074505806,0.05000000074505806,0.05000000074505806,0,5
before_fix,eval_flow_id,0,1,5,0.07000000029802322,0.05000000074505806,0.10000000149011612,0,0
before_fix,eval_flow_id,0,2,5,0.10999999940395355,0.05000000074505806,0.15000000596046448,0,0
before_fix,eval_flow_id,0,3,5,0.15000000596046448,0.05000000074505806,0.20000000298023224,0,0
before_fix,eval_flow_id,0,4,5,0.1899999976158142,0.05000000074505806,0.25,0,0
before_fix,eval_flow_id,0,5,5,0.23000000417232513,0.05000000074505806,0.30000001192092896,0,0
before_fix,eval_flow_id,0,6,5,0.27000001072883606,0.05000000074505806,0.3499999940395355,0,0
before_fix,eval_flow_id,0,7,5,0.3100000023841858,0.05000000074505806,0.4000000059604645,0,0
before_fix,eval_flow_id,0,8,5,0.3499999940395355,0.05000000074505806,0.44999998807907104,0,0
before_fix,eval_flow_id,0,9,5,0.38999998569488525,0.05000000074505806,0.5,0,0
before_fix,eval_flow_id,0,10,5,0.4300000071525574,0.05000000074505806,0.550000011920929,0,0
before_fix,eval_flow_id,0,11,5,0.47999998927116394,0.10000000149011612,0.6000000238418579,0,0
before_fix,eval_flow_id,0,12,5,0.5299999713897705,0.15000000596046448,0.6499999761581421,0,0
before_fix,eval_flow_id,0,13,5,0.5799999833106995,0.20000000298023224,0.699999988079071,0,0
before_fix,eval_flow_id,0,14,5,0.6299999952316284,0.25,0.75,0,0
before_fix,eval_flow_id,0,15,5,0.6800000071525574,0.30000001192092896,0.800000011920929,0,0
before_fix,eval_flow_id,0,16,5,0.7300000190734863,0.3499999940395355,0.8500000238418579,0,0
before_fix,eval_flow_id,0,17,5,0.7799999713897705,0.4000000059604645,0.8999999761581421,0,0
before_fix,eval_flow_id,0,18,5,0.8299999833106995,0.44999998807907104,0.949999988079071,0,0
before_fix,eval_flow_id,0,19,5,0.8799999952316284,0.5,1.0,0,0
after_fix,eval_flow_id,0,0,5,0.05000000074505806,0.05000000074505806,0.05000000074505806,0,5
after_fix,eval_flow_id,0,1,5,0.07000000029802322,0.05000000074505806,0.10000000149011612,0,0
after_fix,eval_flow_id,0,2,5,0.10999999940395355,0.05000000074505806,0.15000000596046448,0,0
after_fix,eval_flow_id,0,3,5,0.15000000596046448,0.05000000074505806,0.20000000298023224,0,0
after_fix,eval_flow_id,0,4,5,0.1899999976158142,0.05000000074505806,0.25,0,0
after_fix,eval_flow_id,0,5,5,0.23000000417232513,0.05000000074505806,0.30000001192092896,0,0
after_fix,eval_flow_id,0,6,5,0.27000001072883606,0.05000000074505806,0.3499999940395355,0,0
after_fix,eval_flow_id,0,7,5,0.3100000023841858,0.05000000074505806,0.4000000059604645,0,0
after_fix,eval_flow_id,0,8,5,0.3499999940395355,0.05000000074505806,0.44999998807907104,0,0
after_fix,eval_flow_id,0,9,5,0.38999998569488525,0.05000000074505806,0.5,0,0
after_fix,eval_flow_id,0,10,5,0.4300000071525574,0.05000000074505806,0.550000011920929,0,0
after_fix,eval_flow_id,0,11,5,0.47999998927116394,0.10000000149011612,0.6000000238418579,0,0
after_fix,eval_flow_id,0,12,5,0.5299999713897705,0.15000000596046448,0.6499999761581421,0,0
after_fix,eval_flow_id,0,13,5,0.5799999833106995,0.20000000298023224,0.699999988079071,0,0
after_fix,eval_flow_id,0,14,5,0.6299999952316284,0.25,0.75,0,0
after_fix,eval_flow_id,0,15,5,0.6800000071525574,0.30000001192092896,0.800000011920929,0,0
after_fix,eval_flow_id,0,16,5,0.7300000190734863,0.3499999940395355,0.8500000238418579,0,0
after_fix,eval_flow_id,0,17,5,0.7799999713897705,0.4000000059604645,0.8999999761581421,0,0
after_fix,eval_flow_id,0,18,5,0.8299999833106995,0.44999998807907104,0.949999988079071,0,0
after_fix,eval_flow_id,0,19,5,0.8799999952316284,0.5,1.0,0,0
